Player	Team	Age	G	GS	CG	SHO	IP	H	ER	K	BB	HR	W	L	SV	BS	HLD	ERA	WHIP
Kyle Tyler	MIA	27	1	0	0	0	2	1	1	1	0	0	0	0	0	0	0	4.5	0.5
Tejay Antone	CIN	30	4	0	0	0	2	2	1	2	4	0	0	0	0	0	0	4.5	3
Casey Legumina	CIN	26	1	0	0	0	2	2	2	1	1	1	0	0	0	0	0	9	1.5
Connor Brogdon	PHI	29	3	0	0	0	2	3	6	3	6	2	0	1	0	0	0	27	4.5
Matt Bowman	ARI	32	1	0	0	0	1.2	2	1	0	0	1	0	0	0	0	0	5.4	1.2
Kyle Leahy	STL	26	1	0	0	0	1.1	2	2	0	0	0	0	1	0	0	0	13.5	1.5
Riley O'Brien	STL	29	1	0	0	0	1	1	1	2	2	0	0	0	0	0	0	9	3
Connor Brogdon	LAD	29	1	0	0	0	1	2	2	0	0	2	0	0	0	0	0	18	2
Andrew Saalfrank	ARI	26	2	0	0	0	1	2	4	0	4	0	0	0	0	0	0	36	6
Logan Gillaspie	SD	27	1	0	0	0	0.2	0	0	2	0	0	0	0	0	0	0	0	0
Luis Ortiz	PHI	28	1	0	0	0	0.2	3	2	0	0	0	0	0	0	0	0	27	4.5
